"","Delegacion","total","Ingresos"
"1","Álvaro Obregón",1808876.87521255,9443949961
"2","Azcapotzalco",1840623.40643243,5734653430
"3","Benito Juárez",868900.132325927,6775732212
"4","Coyoacán",1758940.17191517,8422632331
"5","Cuajimalpa de Morelos",2680050.79763102,5167689382
"6","Cuauhtémoc",818102.885503661,10013123059
"7","Gustavo A. Madero",798177.407350855,14103011592
"8","Iztacalco",544027.937851214,6082792854
"9","Iztapalapa",497412.173975301,17244501063
"10","Magdalena Contreras",929470.482803184,5073398312
"11","Miguel Hidalgo",1867967.64457365,7250378712
"12","Milpa Alta",394181.241823885,4281872892
"13","Tláhuac",400135.422053954,5116110759
"14","Tlalpan",1748568.44908398,7906150872
"15","Venustiano Carranza",551467.575825544,8412116137
"16","Xochimilco",1020554.59247194,6086254067
