,overall,per capita
Australia,371,14.56
Austria,195,21.7
Belgium,228,19.69
Brazil,2274,10.7
Canada,382,10.13
China,21719,15.01
Czechia,69,6.4
Denmark,122,21.12
Finland,49,8.78
France,1357,20.79
Germany,"1,183",14.12
Greece,228,21.84
India,883,0.64
Indonesia,5049,18.46
Ireland,42,8.51
Italy,4182,69.17
Japan,3799,30.03
Kenya,511,9.5
"Korea, South",3143,61.3
Lithuania,9,3.4
Marocco,369,10
Mexico,501,3.88
Netherlands,124,7.21
New Zealand,102,21.07
Nigeria,3191,15.48
Norway,87,16.06
Pakistan,1158,5.24
Peru,402,12.2
Poland,462,12.21
Portugal,107,10.54
Russia,2294,15.72
Saudi Arabia,1125,32.32
Serbia,101,11.57
South Africa,618,10.43
Spain,429,9.18
Sweden,169,16.75
Swizterland,294,34.01
Thailand,579,8.3
Turkey,1823,21.61
United Kingdom,823,12.12
US,6390,19.31
Vietnam,179,1.84
