,overall,per capita
Germany,"1,947",23.24
France,1377,21.1
US,13235,39.99
Brazil,3001,14.12
China,16582,11.46
Canada,1111,29.43
Czechia,247,23.08
Finland,146,26.43
Denmark,184,31.84
Belgium,283,24.4
Austria,247,27.42
Australia,783,30.71
Greece,200,19.14
India,8035,5.82
Indonesia,2481,9.07
Ireland,128,25.83
Italy,1272,21.04
Japan,2858,22.59
Kenya,285,5.3
Lithuania,66,24.32
Mexico,1729,13.41
Marocco,285,7.73
Netherlands,453,26.43
New Zealand,99,20.62
Nigeria,1350,6.55
Norway,179,32.97
Pakistan,967,4.38
Peru,323,9.8
Poland,833,22.01
Portugal,197,19.34
Russia,2088,14.31
Saudi Arabia,785,22.54
Serbia,104,11.85
South Africa,565,9.52
"Korea, South",928,18.1
Spain,929,19.86
Sweden,272,26.88
Swizterland,321,37.07
Thailand,724,10.38
Turkey,1103,13.08
United Kingdom,1846,27.2
Vietnam,810,8.32
