Country.Region,confirmed,date,deaths
Italy,1128,2020-02-29,29
France,100,2020-02-29,2
Germany,79,2020-02-29,0
Spain,45,2020-02-29,0
United Kingdom,23,2020-02-29,0
Switzerland,18,2020-02-29,0
Norway,15,2020-02-29,0
Sweden,12,2020-02-29,0
Austria,9,2020-02-29,0
Croatia,6,2020-02-29,0
Netherlands,6,2020-02-29,0
Greece,4,2020-02-29,0
Denmark,3,2020-02-29,0
Finland,3,2020-02-29,0
Romania,3,2020-02-29,0
Belarus,1,2020-02-29,0
Belgium,1,2020-02-29,0
Estonia,1,2020-02-29,0
Iceland,1,2020-02-29,0
Ireland,1,2020-02-29,0
Lithuania,1,2020-02-29,0
Luxembourg,1,2020-02-29,0
North Macedonia,1,2020-02-29,0
San Marino,1,2020-02-29,0
