Country/Region,lockdown,date
Russia,Partial,2020-03-27
South Africa,Yes,2020-03-26
New Zealand,Yes,2020-03-25
Saudi Arabia,parts,2020-03-25
Colombia,Yes,2020-03-24
India,Yes,2020-03-24
United Kingdom,Yes,2020-03-23
Australia,Partial,2020-03-25
China,parts,2020-01-31
Jordan,Yes,2020-03-21
Argentina,Yes,2020-03-21
Israel,Partial,2020-03-19
Belgium,Yes,2020-03-17
Germany,Yes,2020-03-22
Malaysia,Yes,2020-03-16
Czechia,Partial,2020-03-16
France,Yes,2020-03-16
Morocco,Yes,2020-03-20
Kenya,Partial,2020-03-22
Spain,Yes,2020-03-14
Poland,Partial,2020-03-13
Kuwait,Partial,2020-03-13
Ireland,Partial,2020-03-12
Norway,Partial,2020-03-12
El Salvador,Partial,2020-03-11
Denmark,Partial,2020-03-13
Italy,Yes,2020-03-10
Portugal,Yes,2020-03-18
Slovenia,Yes,2020-03-20
Ukraine,Yes,2020-03-17
Egypt,Partial,2020-03-25
Hungary,Yes,2020-03-27
Brazil,parts,2020-03-23
United States of America,parts,2020-03-23
Thailand,Partial,2020-04-03
Singapore, Yes, 2020-04-07
United Arab Emirates, Partial, 2020-03-26
Peru, Partial, 2020-04-03
Panama, Partial, 2020-04-01
