date,confirmed,deaths
2020-02-13,473,2
2020-02-14,527,2
2020-02-15,617,3
2020-02-16,711,4
2020-02-17,824,4
2020-02-18,925,4
2020-02-19,1020,6
2020-02-20,1120,9
2020-02-21,1269,13
2020-02-22,1571,15
2020-02-23,1936,24
2020-02-24,2320,34
2020-02-25,2652,43
2020-02-26,3222,53
2020-02-27,4146,68
2020-02-28,5184,82
2020-02-29,6655,104
2020-03-01,8437,124
2020-03-02,10170,171
2020-03-03,12579,213
2020-03-04,14734,271
2020-03-05,17349,333
2020-03-06,21111,416
2020-03-07,25077,486
2020-03-08,28998,702
2020-03-09,32730,865
2020-03-10,37733,1123
2020-03-11,44954,1454
