"hgnc_symbol","ensembl_gene_id"
"CFH","ENSG00000000971"
"SEMA3F","ENSG00000001617"
"CFTR","ENSG00000001626"
"ANKIB1","ENSG00000001629"
"BAD","ENSG00000002330"
"LAP3","ENSG00000002549"
"AOC1","ENSG00000002726"
"KLHL13","ENSG00000003096"
"CYP26B1","ENSG00000003137"
"TFPI","ENSG00000003436"
"NDUFAF7","ENSG00000003509"
"ARF5","ENSG00000004059"
"PLXND1","ENSG00000004399"
"RBM6","ENSG00000004534"
"CAMKK1","ENSG00000004660"
"ARHGAP33","ENSG00000004777"
"ABCB5","ENSG00000004846"
"ST7","ENSG00000004866"
"SLC4A1","ENSG00000004939"
"UPF1","ENSG00000005007"
"MEOX1","ENSG00000005102"
"THSD7A","ENSG00000005108"
"ACSM3","ENSG00000005187"
"CREBBP","ENSG00000005339"
"BZRAP1","ENSG00000005379"
"MPO","ENSG00000005381"
"PON1","ENSG00000005421"
"CROT","ENSG00000005469"
"ABCB4","ENSG00000005471"
"KMT2E","ENSG00000005483"
"MYCBP2","ENSG00000005810"
"FBXL3","ENSG00000005812"
"ITGAL","ENSG00000005844"
"ITGA3","ENSG00000005884"
"OSBPL7","ENSG00000006025"
"TMEM98","ENSG00000006042"
"TMEM132A","ENSG00000006118"
"AP2B1","ENSG00000006125"
"CX3CL1","ENSG00000006210"
"TNFRSF12A","ENSG00000006327"
"BAIAP2L1","ENSG00000006453"
"TTC22","ENSG00000006555"
"PHTF2","ENSG00000006576"
"GGCT","ENSG00000006625"
"TBXA2R","ENSG00000006638"
"IFRD1","ENSG00000006652"
"GTF2IRD1","ENSG00000006704"
"VPS41","ENSG00000006715"
"MYH13","ENSG00000006788"
"UPP2","ENSG00000007001"
"PRSS21","ENSG00000007038"
"MARK4","ENSG00000007047"
"PROM1","ENSG00000007062"
"NOS2","ENSG00000007171"
"DNAH9","ENSG00000007174"
"KIAA0100","ENSG00000007202"
"SLC13A2","ENSG00000007216"
"GAS7","ENSG00000007237"
"MATK","ENSG00000007264"
"SCN4A","ENSG00000007314"
"RPUSD1","ENSG00000007376"
"CACNA2D2","ENSG00000007402"
"BAIAP3","ENSG00000007516"
"TSR3","ENSG00000007520"
"CRAMP1L","ENSG00000007545"
"TEAD3","ENSG00000007866"
"DNAJC11","ENSG00000007923"
"MYLIP","ENSG00000007944"
"NOX1","ENSG00000007952"
"SYN1","ENSG00000008056"
"CAMK1G","ENSG00000008118"
"NADK","ENSG00000008130"
"TFAP2D","ENSG00000008197"
"CYTH3","ENSG00000008256"
"SPAG9","ENSG00000008294"
"CELSR3","ENSG00000008300"
"AASS","ENSG00000008311"
"MGST1","ENSG00000008394"
"PKD1","ENSG00000008710"
"MAPK8IP2","ENSG00000008735"
"HEATR5B","ENSG00000008869"
"REV3L","ENSG00000009413"
"TENM1","ENSG00000009694"
"PAX7","ENSG00000009709"
"MLXIPL","ENSG00000009950"
"ETV7","ENSG00000010030"
"SPRTN","ENSG00000010072"
"DYRK4","ENSG00000010219"
"NISCH","ENSG00000010322"
"STAB1","ENSG00000010327"
"SLC6A13","ENSG00000010379"
"CD4","ENSG00000010610"
"LRRC23","ENSG00000010626"
"BTK","ENSG00000010671"
"FMO1","ENSG00000010932"
"MRC2","ENSG00000011028"
"SLC6A7","ENSG00000011083"
"BTBD7","ENSG00000011114"
"APBA3","ENSG00000011132"
"MKS1","ENSG00000011143"
"SYT7","ENSG00000011347"
"LARS2","ENSG00000011376"
"PIK3C2A","ENSG00000011405"
"WIZ","ENSG00000011451"
"RABGAP1","ENSG00000011454"
"ZBTB32","ENSG00000011590"
"GABRA3","ENSG00000011677"
"BRCA1","ENSG00000012048"
"ERCC1","ENSG00000012061"
"CD22","ENSG00000012124"
"MBTPS2","ENSG00000012174"
