MeanDecreaseAccuracy,var,name
39.77016222539833,area,area
69.43530100328408,sex,sex
50.337559160951116,age,age
23.3411511348132,language_1,primary language
11.371337242611293,literate,literacy
20.91801671890882,indigenous,indigenous identity
3.367288363262115,chronic_disease_1,chronic disease
31.396839409948356,disability,disability
23.17060959265997,cellphone,cellphone  access
33.014346531049846,internet_use,internet access
30.134822663062863,yrs_educ,years of education
48.86045708351556,marital,marital status
