MeanDecreaseAccuracy,var,name
7.921922742475393,area,area
109.5913943686078,sex,sex
38.089319873875596,age,age
10.015270760980206,language_1,primary language
16.340749313022222,literate,literacy
3.001967217412468,indigenous,indigenous identity
3.9691922592543865,chronic_disease_1,chronic disease
28.41107549013529,disability,disability
11.557319240008876,cellphone,cellphone  access
22.378834032185033,internet_use,internet access
32.924534616676624,yrs_educ,years of education
72.66212242590787,marital,marital status
46.10474251884613,pc_inc,income per capita
