Genes	M1A	M1B	A1A	A1B	V1A	V1B	M6A	M6B	A6A	A6B	V6A	V6B	M12A	M12B	A12A	A12B	V12A	V12B
AT1G01010	57	244	201	169	365	229	41	38	152	46	294	405	117	139	132	64	230	120
AT1G01020	23	93	69	126	107	88	18	25	20	5	88	151	43	74	33	18	43	31
AT1G01030	41	98	73	58	94	156	9	13	8	6	36	147	32	29	12	9	70	85
AT1G01040	180	684	522	664	585	680	162	163	249	66	697	1060	338	604	360	80	203	171
AT1G01050	60	127	102	166	125	303	116	180	139	37	236	679	362	746	194	50	214	181
AT1G01060	26	264	59	56	8	26	5	2	0	0	0	4	89	203	118	24	62	32
AT1G01070	0	0	2	1	6	6	2	4	5	2	5	13	9	43	8	0	9	1
AT1G01073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01080	98	379	179	456	287	538	102	211	79	42	150	551	250	612	78	26	78	55
AT1G01090	331	1027	779	1343	647	1831	350	524	323	140	600	1693	800	1662	281	122	391	273
AT1G01100	230	432	516	458	468	849	522	634	926	183	1333	2401	762	1805	761	102	627	476
AT1G01110	6	10	11	5	4	17	3	3	5	2	1	16	7	38	4	0	0	4
AT1G01115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G01008	28	68	61	33	48	53	39	38	97	23	82	112	142	230	85	18	100	46
AT2G01021	6267	3061	7559	2203	3125	1168	12653	12386	9799	10386	9414	3265	6908	3676	11154	3301	9421	8486
AT2G01023	0	14	6	10	0	3	0	1	0	1	3	4	6	2	2	0	5	2
AT3G01010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G01015	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0
AT3G01020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G01030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G01040	93	454	364	578	375	735	46	76	80	23	162	260	143	131	79	34	105	55
AT3G01050	31	121	108	167	104	146	43	55	52	21	112	292	53	211	87	25	43	24
AT3G01060	235	801	553	674	226	366	8	59	13	1	14	41	103	178	39	6	52	24
AT3G01070	0	8	6	2	5	6	0	0	0	0	0	2	0	4	2	0	0	0
AT3G01080	30	29	151	14	56	97	15	25	72	7	57	33	27	34	88	13	56	33
AT3G01085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G01090	70	274	315	373	334	349	92	139	148	48	236	468	257	390	176	32	127	76
AT3G01100	38	132	87	126	100	203	28	50	74	19	126	280	128	194	121	24	79	45
AT3G01120	709	2358	2031	2222	1674	2310	780	1217	1176	270	1737	2768	1998	1861	781	219	734	291
AT3G01130	54	140	149	131	242	254	84	116	160	27	341	376	110	323	184	51	97	98
AT3G01140	0	14	4	39	2	0	14	14	21	7	15	50	52	81	19	13	18	12
AT3G01150	37	126	186	170	138	380	45	95	67	14	126	299	130	191	74	20	70	42
AT3G01160	33	238	123	329	133	126	51	80	92	20	178	278	65	125	59	26	28	39
AT3G01170	33	131	161	212	110	296	51	54	73	22	132	112	95	93	80	19	61	29
AT4G00005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G00020	4	25	6	66	16	49	5	11	11	1	23	36	19	28	11	1	4	4
AT4G00026	19	89	60	75	41	43	56	66	93	12	146	175	38	132	52	13	33	26
AT4G00030	69	106	255	121	127	193	73	124	157	21	209	337	245	397	164	22	92	57
AT4G00040	61	176	189	147	158	282	102	114	185	48	317	471	362	598	203	37	112	69
AT4G00050	12	138	20	117	23	19	63	45	151	8	158	169	472	499	239	12	178	59
AT4G00060	48	359	162	381	275	406	70	119	122	43	210	463	298	414	176	48	140	62
AT4G00070	0	0	0	0	0	0	0	3	0	0	0	2	0	1	0	0	0	0
AT4G00080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G00090	21	59	89	88	56	138	42	66	78	22	191	334	74	166	91	20	93	51
AT4G00100	186	384	402	432	403	966	360	440	656	113	1005	1831	703	1319	600	106	565	362
AT4G00110	22	78	75	147	81	131	42	40	48	12	46	107	51	117	37	10	17	17
AT4G00120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G00124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G00130	6	9	32	4	28	16	3	2	3	1	12	12	5	11	6	1	1	1
AT4G00140	8	6	30	11	30	21	7	13	20	3	22	13	23	29	13	2	5	5
AT5G01010	143	442	542	646	606	1031	230	334	461	109	731	1229	449	861	599	121	331	207
AT5G01015	16	26	11	17	4	8	15	58	2	10	0	53	6	65	2	1	4	3
AT5G01020	87	227	184	207	165	463	153	221	260	50	423	903	732	1008	265	95	283	195
AT5G01030	31	170	91	219	97	106	22	27	57	29	100	127	62	100	70	21	29	28
AT5G01040	49	125	179	103	150	427	2	2	11	2	7	12	2	2	0	2	0	1
AT5G01050	4	7	5	3	7	10	0	0	0	3	0	3	0	0	0	0	0	0
AT5G01060	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
AT5G01070	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
AT5G01075	1	28	9	23	2	5	11	11	8	1	12	32	12	29	5	3	9	4
AT5G01080	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
