"Year","GHG_gas","Region","Country","Units","Calculated_total","Value","diff"
1990,"CH4","Annex","Australia","Gg",5560.41,5484.97,75.4399999999996
1990,"CH4","Annex","Austria","Gg",413.15,396.77,16.38
1990,"CH4","Annex","Belarus","Gg",731.33,724.63,6.70000000000005
1990,"CH4","Annex","Belgium","Gg",461.47,459.96,1.51000000000005
1990,"CH4","Annex","Bulgaria","Gg",793.1,788.32,4.77999999999997
1990,"CH4","Annex","Canada","Gg",3537.06,3428.71,108.35
1990,"CH4","Annex","Croatia","Gg",183.21,176.03,7.18000000000001
1990,"CH4","Annex","Cyprus","Gg",43.37,43.33,0.0400000000000063
1990,"CH4","Annex","Czech Republic","Gg",857.37,851.85,5.51999999999998
1990,"CH4","Annex","Denmark","Gg",288.49,283.55,4.94
1990,"CH4","Annex","Estonia","Gg",81.9,80.05,1.85000000000001
1990,"CH4","Annex","European Union (15)","Gg",21161.02,20946.82,214.200000000001
1990,"CH4","Annex","European Union (28)","Gg",28903.51,28627.27,276.239999999998
1990,"CH4","Annex","Finland","Gg",302.11,293.79,8.31999999999999
1990,"CH4","Annex","France","Gg",3020.43,2845.29,175.14
1990,"CH4","Annex","Germany","Gg",5111,5180.86,-69.8599999999997
1990,"CH4","Annex","Greece","Gg",509.57,505.29,4.27999999999997
1990,"CH4","Annex","Hungary","Gg",574.21,565.5,8.71000000000004
1990,"CH4","Annex","Iceland","Gg",20.79,20.79,0
1990,"CH4","Annex","Ireland","Gg",651.79,651.15,0.6400000000001
1990,"CH4","Annex","Italy","Gg",2104.66,2084.11,20.5500000000002
1990,"CH4","Annex","Japan","Gg",1578.54,1543.57,34.97
1990,"CH4","Annex","Latvia","Gg",167.22,159.26,7.96000000000001
1990,"CH4","Annex","Liechtenstein","Gg",0.69,0.68,0.01
1990,"CH4","Annex","Lithuania","Gg",277.44,273.79,3.64999999999998
1990,"CH4","Annex","Luxembourg","Gg",22.19,21.98,0.210000000000001
1990,"CH4","Annex","Malta","Gg",3.48,3.49,-0.00999999999999979
1990,"CH4","Annex","Monaco","Gg",0.09,0.09,0
1990,"CH4","Annex","Netherlands","Gg",1243.61,1224.13,19.48
1990,"CH4","Annex","New Zealand","Gg",1280.57,1277.84,2.73000000000025
1990,"CH4","Annex","Norway","Gg",242.37,236.17,6.20000000000002
1990,"CH4","Annex","Poland","Gg",2369.09,2364.34,4.75
1990,"CH4","Annex","Portugal","Gg",503.93,485.85,18.08
1990,"CH4","Annex","Romania","Gg",2057.23,2045.01,12.22
1990,"CH4","Annex","Russian Federation","Gg",28430.93,28257.06,173.869999999999
1990,"CH4","Annex","Slovakia","Gg",229.32,229.1,0.219999999999999
1990,"CH4","Annex","Slovenia","Gg",106.05,100.93,5.11999999999999
1990,"CH4","Annex","Spain","Gg",1280.71,1248.48,32.23
1990,"CH4","Annex","Sweden","Gg",346.91,332.64,14.27
1990,"CH4","Annex","Switzerland","Gg",226.21,220.86,5.34999999999999
1990,"CH4","Annex","Turkey","Gg",1626.3,1621.6,4.70000000000005
1990,"CH4","Annex","Ukraine","Gg",7816.55,7731.03,85.5200000000004
1990,"CH4","Annex","United Kingdom of Great Britain and Northern Ireland","Gg",5160.87,5193.28,-32.4099999999999
1990,"CH4","Annex","United States of America","Gg",30365.96,30152.47,213.489999999998
1990,"HFCs","Annex","Australia","Gg CO2 equivalent",1126.27,1126.27,0
1990,"HFCs","Annex","Austria","Gg CO2 equivalent",22.55,22.55,0
1990,"HFCs","Annex","Belarus","Gg CO2 equivalent",0,NA,NA
1990,"HFCs","Annex","Belgium","Gg CO2 equivalent",0,NA,NA
1990,"HFCs","Annex","Bulgaria","Gg CO2 equivalent",0,NA,NA
1990,"HFCs","Annex","Canada","Gg CO2 equivalent",767.25,767.25,0
1990,"HFCs","Annex","Croatia","Gg CO2 equivalent",0,NA,NA
1990,"HFCs","Annex","Cyprus","Gg CO2 equivalent",0,NA,NA
1990,"HFCs","Annex","Czech Republic","Gg CO2 equivalent",0,NA,NA
1990,"HFCs","Annex","Denmark","Gg CO2 equivalent",0,NA,NA
1990,"HFCs","Annex","Estonia","Gg CO2 equivalent",0,NA,NA
1990,"HFCs","Annex","European Union (15)","Gg CO2 equivalent",9909.92,27832,-17922.08
1990,"HFCs","Annex","European Union (28)","Gg CO2 equivalent",9910.08,27832.16,-17922.08
1990,"HFCs","Annex","Finland","Gg CO2 equivalent",0.02,0.02,0
1990,"HFCs","Annex","France","Gg CO2 equivalent",1661.38,3657.23,-1995.85
1990,"HFCs","Annex","Germany","Gg CO2 equivalent",39.78,4592.29,-4552.51
1990,"HFCs","Annex","Greece","Gg CO2 equivalent",935.06,935.06,0
1990,"HFCs","Annex","Hungary","Gg CO2 equivalent",0,NA,NA
1990,"HFCs","Annex","Iceland","Gg CO2 equivalent",0,NA,NA
1990,"HFCs","Annex","Ireland","Gg CO2 equivalent",0.47,0.47,0
1990,"HFCs","Annex","Italy","Gg CO2 equivalent",351,351,0
1990,"HFCs","Annex","Japan","Gg CO2 equivalent",12593.95,12595.25,-1.30000000000109
1990,"HFCs","Annex","Latvia","Gg CO2 equivalent",0,NA,NA
1990,"HFCs","Annex","Liechtenstein","Gg CO2 equivalent",0,0,0
1990,"HFCs","Annex","Lithuania","Gg CO2 equivalent",0,NA,NA
1990,"HFCs","Annex","Luxembourg","Gg CO2 equivalent",12.01,12.01,0
1990,"HFCs","Annex","Malta","Gg CO2 equivalent",0,NA,NA
1990,"HFCs","Annex","Monaco","Gg CO2 equivalent",0.29,0.29,0
1990,"HFCs","Annex","Netherlands","Gg CO2 equivalent",4432.03,4432.03,0
1990,"HFCs","Annex","New Zealand","Gg CO2 equivalent",0,NA,NA
1990,"HFCs","Annex","Norway","Gg CO2 equivalent",0.05,0.05,0
1990,"HFCs","Annex","Poland","Gg CO2 equivalent",0,NA,NA
1990,"HFCs","Annex","Portugal","Gg CO2 equivalent",0,NA,NA
1990,"HFCs","Annex","Romania","Gg CO2 equivalent",0.16,0.16,0
1990,"HFCs","Annex","Russian Federation","Gg CO2 equivalent",28409.78,28409.78,0
1990,"HFCs","Annex","Slovakia","Gg CO2 equivalent",0,NA,NA
1990,"HFCs","Annex","Slovenia","Gg CO2 equivalent",0,NA,NA
1990,"HFCs","Annex","Spain","Gg CO2 equivalent",2441.16,2441.16,0
1990,"HFCs","Annex","Sweden","Gg CO2 equivalent",4.18,4.18,0
1990,"HFCs","Annex","Switzerland","Gg CO2 equivalent",0.02,0.02,0
1990,"HFCs","Annex","Turkey","Gg CO2 equivalent",0,NA,NA
1990,"HFCs","Annex","Ukraine","Gg CO2 equivalent",0,NA,NA
1990,"HFCs","Annex","United Kingdom of Great Britain and Northern Ireland","Gg CO2 equivalent",10.32,11384.05,-11373.73
1990,"HFCs","Annex","United States of America","Gg CO2 equivalent",36924.1,36924.1,7.27595761418343e-12
1990,"N2O","Annex","Australia","Gg",59.83,59.21,0.619999999999997
1990,"N2O","Annex","Austria","Gg",23.26,19.99,3.27
1990,"N2O","Annex","Belarus","Gg",65.01,64.93,0.0799999999999841
1990,"N2O","Annex","Belgium","Gg",46.74,35.16,11.58
1990,"N2O","Annex","Bulgaria","Gg",45.41,39.83,5.58000000000001
1990,"N2O","Annex","Canada","Gg",198.3,158.61,39.69
1990,"N2O","Annex","Croatia","Gg",15.36,12.76,2.6
1990,"N2O","Annex","Cyprus","Gg",1.77,1.78,-0.01
1990,"N2O","Annex","Czech Republic","Gg",47.21,43.5,3.71
1990,"N2O","Annex","Denmark","Gg",35.11,31.68,3.43
1990,"N2O","Annex","Estonia","Gg",7.27,7.24,0.0299999999999994
1990,"N2O","Annex","European Union (15)","Gg",1591.05,1281.99,309.06
1990,"N2O","Annex","European Union (28)","Gg",2065.86,1702.59,363.27
1990,"N2O","Annex","Finland","Gg",29.37,23.87,5.5
1990,"N2O","Annex","France","Gg",366.01,295.57,70.44
1990,"N2O","Annex","Germany","Gg",346.74,275.23,71.51
1990,"N2O","Annex","Greece","Gg",36.68,32.98,3.7
1990,"N2O","Annex","Hungary","Gg",52.07,41.59,10.48
1990,"N2O","Annex","Iceland","Gg",1.68,1.68,0
1990,"N2O","Annex","Ireland","Gg",32.75,29.39,3.36
1990,"N2O","Annex","Italy","Gg",142.94,120.84,22.1
1990,"N2O","Annex","Japan","Gg",122.25,95.9,26.35
1990,"N2O","Annex","Latvia","Gg",12.41,12.31,0.0999999999999996
1990,"N2O","Annex","Liechtenstein","Gg",0.03,0.04,-0.01
1990,"N2O","Annex","Lithuania","Gg",26.24,23.18,3.06
1990,"N2O","Annex","Luxembourg","Gg",1.55,1.54,0.00999999999999979
1990,"N2O","Annex","Malta","Gg",0.17,0.17,0
1990,"N2O","Annex","Monaco","Gg",0,0.01,-0.01
1990,"N2O","Annex","Netherlands","Gg",84.94,64.49,20.45
1990,"N2O","Annex","New Zealand","Gg",26.56,26.6,-0.0399999999999991
1990,"N2O","Annex","Norway","Gg",23.1,16.27,6.83
1990,"N2O","Annex","Poland","Gg",146.45,134.79,11.66
1990,"N2O","Annex","Portugal","Gg",19.42,17.91,1.51
1990,"N2O","Annex","Romania","Gg",92.04,78.93,13.11
1990,"N2O","Annex","Russian Federation","Gg",734.59,720.23,14.36
1990,"N2O","Annex","Slovakia","Gg",24.26,20.45,3.81
1990,"N2O","Annex","Slovenia","Gg",4.15,4.08,0.0700000000000003
1990,"N2O","Annex","Spain","Gg",95.6,85.91,9.69
1990,"N2O","Annex","Sweden","Gg",29.05,26.17,2.88
1990,"N2O","Annex","Switzerland","Gg",11.64,11.22,0.419999999999998
1990,"N2O","Annex","Turkey","Gg",39.82,39.41,0.410000000000004
1990,"N2O","Annex","Ukraine","Gg",195.45,189.44,6.00999999999999
1990,"N2O","Annex","United Kingdom of Great Britain and Northern Ireland","Gg",302.09,222.84,79.25
1990,"N2O","Annex","United States of America","Gg",1393.79,1275.84,117.95
1990,"PFCs","Annex","Australia","Gg CO2 equivalent",3950.13,3950.13,0
1990,"PFCs","Annex","Austria","Gg CO2 equivalent",1022.65,1022.65,0
1990,"PFCs","Annex","Belarus","Gg CO2 equivalent",0,NA,NA
1990,"PFCs","Annex","Belgium","Gg CO2 equivalent",0,1753.32,-1753.32
1990,"PFCs","Annex","Bulgaria","Gg CO2 equivalent",0,NA,NA
1990,"PFCs","Annex","Canada","Gg CO2 equivalent",6538.83,6538.83,0
1990,"PFCs","Annex","Croatia","Gg CO2 equivalent",936.56,936.56,0
1990,"PFCs","Annex","Cyprus","Gg CO2 equivalent",0,NA,NA
1990,"PFCs","Annex","Czech Republic","Gg CO2 equivalent",0,NA,NA
1990,"PFCs","Annex","Denmark","Gg CO2 equivalent",0,NA,NA
1990,"PFCs","Annex","Estonia","Gg CO2 equivalent",0,NA,NA
1990,"PFCs","Annex","European Union (15)","Gg CO2 equivalent",13777.72,17275.06,-3497.34
1990,"PFCs","Annex","European Union (28)","Gg CO2 equivalent",17752.65,21249.99,-3497.34
1990,"PFCs","Annex","Finland","Gg CO2 equivalent",0.07,0.07,0
1990,"PFCs","Annex","France","Gg CO2 equivalent",3373.72,4293.45,-919.73
1990,"PFCs","Annex","Germany","Gg CO2 equivalent",2629.69,2629.68,0.0100000000002183
1990,"PFCs","Annex","Greece","Gg CO2 equivalent",163.37,163.37,0
1990,"PFCs","Annex","Hungary","Gg CO2 equivalent",270.83,270.83,0
1990,"PFCs","Annex","Iceland","Gg CO2 equivalent",419.63,419.63,0
1990,"PFCs","Annex","Ireland","Gg CO2 equivalent",0.09,0.09,0
1990,"PFCs","Annex","Italy","Gg CO2 equivalent",1673.35,2486.74,-813.39
1990,"PFCs","Annex","Japan","Gg CO2 equivalent",5000.63,5276.71,-276.08
1990,"PFCs","Annex","Latvia","Gg CO2 equivalent",0,NA,NA
1990,"PFCs","Annex","Liechtenstein","Gg CO2 equivalent",0,NA,NA
1990,"PFCs","Annex","Lithuania","Gg CO2 equivalent",0,NA,NA
1990,"PFCs","Annex","Luxembourg","Gg CO2 equivalent",0,NA,NA
1990,"PFCs","Annex","Malta","Gg CO2 equivalent",0,NA,NA
1990,"PFCs","Annex","Monaco","Gg CO2 equivalent",0,NA,NA
1990,"PFCs","Annex","Netherlands","Gg CO2 equivalent",2264.47,2264.48,-0.00999999999976353
1990,"PFCs","Annex","New Zealand","Gg CO2 equivalent",629.87,629.87,0
1990,"PFCs","Annex","Norway","Gg CO2 equivalent",3370.4,3370.4,0
1990,"PFCs","Annex","Poland","Gg CO2 equivalent",122.88,122.88,0
1990,"PFCs","Annex","Portugal","Gg CO2 equivalent",0,NA,NA
1990,"PFCs","Annex","Romania","Gg CO2 equivalent",2115.83,2115.83,0
1990,"PFCs","Annex","Russian Federation","Gg CO2 equivalent",11676.97,11680.24,-3.27000000000044
1990,"PFCs","Annex","Slovakia","Gg CO2 equivalent",271.37,271.37,0
1990,"PFCs","Annex","Slovenia","Gg CO2 equivalent",257.44,257.44,0
1990,"PFCs","Annex","Spain","Gg CO2 equivalent",882.92,882.92,0
1990,"PFCs","Annex","Sweden","Gg CO2 equivalent",376.82,376.82,0
1990,"PFCs","Annex","Switzerland","Gg CO2 equivalent",100.21,100.21,1.4210854715202e-14
1990,"PFCs","Annex","Turkey","Gg CO2 equivalent",603.43,603.43,0
1990,"PFCs","Annex","Ukraine","Gg CO2 equivalent",203.23,203.23,0
1990,"PFCs","Annex","United Kingdom of Great Britain and Northern Ireland","Gg CO2 equivalent",1390.7,1401.6,-10.8999999999999
1990,"PFCs","Annex","United States of America","Gg CO2 equivalent",20645.87,20645.87,0
1990,"SF6","Annex","Australia","Gg",0.01,0.01,0
1990,"SF6","Annex","Austria","Gg",0.02,0.02,0
1990,"SF6","Annex","Belgium","Gg",0,0.07,-0.07
1990,"SF6","Annex","Bulgaria","Gg",0,0,0
1990,"SF6","Annex","Canada","Gg",0.02,0.14,-0.12
1990,"SF6","Annex","Croatia","Gg",0,0,0
1990,"SF6","Annex","Czech Republic","Gg",0,0,0
1990,"SF6","Annex","Denmark","Gg",0,0,0
1990,"SF6","Annex","European Union (15)","Gg",0.35,0.46,-0.11
1990,"SF6","Annex","European Union (28)","Gg",0.36,0.47,-0.11
1990,"SF6","Annex","Finland","Gg",0,0,0
1990,"SF6","Annex","France","Gg",0.09,0.1,-0.01
1990,"SF6","Annex","Germany","Gg",0.18,0.19,-0.01
1990,"SF6","Annex","Greece","Gg",0,0,0
1990,"SF6","Annex","Hungary","Gg",0,0,0
1990,"SF6","Annex","Iceland","Gg",0,0,0
1990,"SF6","Annex","Ireland","Gg",0,0,0
1990,"SF6","Annex","Italy","Gg",0.01,0.01,0
1990,"SF6","Annex","Japan","Gg",0.41,0.55,-0.14
1990,"SF6","Annex","Luxembourg","Gg",0,0,0
1990,"SF6","Annex","Malta","Gg",0,0,0
1990,"SF6","Annex","Monaco","Gg",0,0,0
1990,"SF6","Annex","Netherlands","Gg",0.01,0.01,0
1990,"SF6","Annex","New Zealand","Gg",0,0,0
1990,"SF6","Annex","Norway","Gg",0.09,0.09,0
1990,"SF6","Annex","Romania","Gg",0,0,0
1990,"SF6","Annex","Russian Federation","Gg",0,0.05,-0.05
1990,"SF6","Annex","Slovakia","Gg",0,0,0
1990,"SF6","Annex","Slovenia","Gg",0,0,0
1990,"SF6","Annex","Spain","Gg",0,0,0
1990,"SF6","Annex","Sweden","Gg",0,0,0
1990,"SF6","Annex","Switzerland","Gg",0,0.01,-0.01
1990,"SF6","Annex","Ukraine","Gg",0,0,0
1990,"SF6","Annex","United Kingdom of Great Britain and Northern Ireland","Gg",0.02,0.04,-0.02
1990,"SF6","Annex","United States of America","Gg",1.37,1.37,0
1990,"SF6","Annex","Australia","Gg CO2 equivalent",13.9,221.2,-207.3
1990,"SF6","Annex","Austria","Gg CO2 equivalent",228.66,493.37,-264.71
1990,"SF6","Annex","Belarus","Gg CO2 equivalent",0,NA,NA
1990,"SF6","Annex","Belgium","Gg CO2 equivalent",83.62,1650.72,-1567.1
1990,"SF6","Annex","Bulgaria","Gg CO2 equivalent",0,3.87,-3.87
1990,"SF6","Annex","Canada","Gg CO2 equivalent",15.22,3392.2,-3376.98
1990,"SF6","Annex","Croatia","Gg CO2 equivalent",0,10.95,-10.95
1990,"SF6","Annex","Cyprus","Gg CO2 equivalent",0,NA,NA
1990,"SF6","Annex","Czech Republic","Gg CO2 equivalent",0,79.17,-79.17
1990,"SF6","Annex","Denmark","Gg CO2 equivalent",11.95,44.45,-32.5
1990,"SF6","Annex","Estonia","Gg CO2 equivalent",0,NA,NA
1990,"SF6","Annex","European Union (15)","Gg CO2 equivalent",4881.29,10979.85,-6098.56
1990,"SF6","Annex","European Union (28)","Gg CO2 equivalent",4881.29,11172.19,-6290.9
1990,"SF6","Annex","Finland","Gg CO2 equivalent",7.86,114.94,-107.08
1990,"SF6","Annex","France","Gg CO2 equivalent",433.9,2286.32,-1852.42
1990,"SF6","Annex","Germany","Gg CO2 equivalent",3299.38,4641.63,-1342.25
1990,"SF6","Annex","Greece","Gg CO2 equivalent",0,3.07,-3.07
1990,"SF6","Annex","Hungary","Gg CO2 equivalent",0,87.62,-87.62
1990,"SF6","Annex","Iceland","Gg CO2 equivalent",0,1.15,-1.15
1990,"SF6","Annex","Ireland","Gg CO2 equivalent",14.01,35.51,-21.5
1990,"SF6","Annex","Italy","Gg CO2 equivalent",0,332.92,-332.92
1990,"SF6","Annex","Japan","Gg CO2 equivalent",872.15,13167.85,-12295.7
1990,"SF6","Annex","Latvia","Gg CO2 equivalent",0,NA,NA
1990,"SF6","Annex","Liechtenstein","Gg CO2 equivalent",0,NA,NA
1990,"SF6","Annex","Lithuania","Gg CO2 equivalent",0,NA,NA
1990,"SF6","Annex","Luxembourg","Gg CO2 equivalent",0.58,1.13,-0.55
1990,"SF6","Annex","Malta","Gg CO2 equivalent",0,0.01,-0.01
1990,"SF6","Annex","Monaco","Gg CO2 equivalent",0,0.18,-0.18
1990,"SF6","Annex","Netherlands","Gg CO2 equivalent",218.28,218.28,0
1990,"SF6","Annex","New Zealand","Gg CO2 equivalent",2.87,15.2,-12.33
1990,"SF6","Annex","Norway","Gg CO2 equivalent",2.34,2199.78,-2197.44
1990,"SF6","Annex","Poland","Gg CO2 equivalent",0,NA,NA
1990,"SF6","Annex","Portugal","Gg CO2 equivalent",0,NA,NA
